First,Last,First Last,BIS_Number
Mike,Zunino,Mike Zunino,13265
Jake,Lamb,Jake Lamb,13329
Christian,Walker,Christian Walker,13419
Jose,Ramirez,Jose Ramirez,13510
Mookie,Betts,Mookie Betts,13611
Terrance,Gore,Terrance Gore,13658
Chris,Taylor,Chris Taylor,13757
Matt,Duffy,Matt Duffy,13836
Jorge,Soler,Jorge Soler,14221
Yasiel,Puig,Yasiel Puig,14225
Elian,Herrera,Elian Herrera,14335
Dilson,Herrera,Dilson Herrera,14335
Henry,Urrutia,Henry Urrutia,14441
Alex,Guerrero,Alex Guerrero,15670
Jose,Abreu,Jose Abreu,15676
Erisbel,Arruebarrena,Erisbel Arruebarrena,15809
Rusney,Castillo,Rusney Castillo,17016
Jung-ho,Kang,Jung-ho Kang,17182
Story,Trevor,Trevor Story,12564
Mazara,Nomar,Nomar Mazara,14553
